2012,2013,2014,2015,holiday_name
01/01/2012,01/01/2013,01/01/2014,01/01/2015,New Year's Day
20/03/2012,20/03/2013,20/03/2014,20/03/2015,March Equinox
23/04/2012,23/04/2013,23/04/2014,23/04/2015,National Sovereignty and Children's Day
01/05/2012,01/05/2013,01/05/2014,01/05/2015,Labor and Solidarity Day
19/05/2012,19/05/2013,19/05/2014,19/05/2015,"Commemoration of Ataturk, Youth and Sports Day"
21/06/2012,21/06/2013,21/06/2014,21/06/2015,June Solstice
18/08/2012,07/08/2013,07/08/2014,07/08/2015,Ramadan Feast Eve
19/08/2012,08/08/2013,08/08/2014,08/08/2015,Ramadan Feast
20/08/2012,09/08/2013,09/08/2014,09/08/2015,Ramadan Feast Holiday
21/08/2012,10/08/2013,10/08/2014,10/08/2015,Ramadan Feast Holiday
30/08/2012,30/08/2013,30/08/2014,30/08/2015,Victory Day
22/09/2012,22/09/2013,22/09/2014,22/09/2015,September Equinox
24/10/2012,14/10/2013,14/10/2014,14/10/2015,Sacrifice Feast Eve
25/10/2012,15/10/2013,15/10/2014,05/01/2015,Sacrifice Feast
26/10/2012,16/10/2013,16/10/2014,16/10/2015,Sacrifice Feast Day 2
27/10/2012,17/10/2013,17/10/2014,05/01/2015,Sacrifice Feast Day 3
28/10/2012,18/10/2013,18/10/2014,18/10/2015,Republic Day Eve
28/10/2012,28/10/2013,28/10/2014,28/10/2015,Sacrifice Feast Day 4
29/10/2012,29/10/2013,29/10/2014,29/10/2015,Republic Day
10/11/2012,10/11/2013,10/11/2014,10/11/2015,Ataturk Memorial Day
21/12/2012,21/12/2013,21/12/2014,21/12/2015,December Solstice
31/12/2012,31/12/2013,31/12/2014,31/12/2015,New Year's Eve
